bathrooms,bedrooms,condition,date,floors,grade,id,lat,long,price,sqft_above,sqft_basement,sqft_living,sqft_living15,sqft_lot,sqft_lot15,view,waterfront,yr_built,yr_renovated,zipcode
2.25,3,3,20141112T000000,1,8,1449000260,47.6297,-122.099,493000,1790,0,1790,2290,11393,11894,0,0,1978,0,98052
2.25,4,3,20150403T000000,1,9,8722100570,47.6381,-122.304,1.6e+006,1470,1470,2940,2230,5735,5659,0,0,1957,0,98112
3,4,5,20140627T000000,1,10,7856400240,47.5605,-122.158,1.62e+006,2520,1380,3900,3410,9750,9450,4,0,1972,0,98006
3,4,5,20150211T000000,1,10,7856400240,47.5605,-122.158,1.65e+006,2520,1380,3900,3410,9750,9450,4,0,1972,0,98006
2.5,3,3,20140926T000000,2.5,7,3037200060,47.6037,-122.311,499000,1230,520,1750,1410,2150,3300,0,0,1900,2014,98122
2.75,6,5,20140623T000000,1,8,6071700160,47.549,-122.173,603500,1550,1110,2660,2280,8400,8400,0,0,1962,0,98006
1.5,2,3,20140624T000000,1,8,7645900055,47.5762,-122.377,530000,1280,300,1580,1730,3680,3680,2,0,1941,0,98126
2.5,5,4,20150406T000000,1,8,0292000070,47.6005,-122.204,895000,1220,1130,2350,2470,14197,11629,0,0,1962,0,98004
2.25,4,4,20140513T000000,1,7,9510900710,47.3092,-122.372,267345,1610,900,2510,1940,8165,8250,0,0,1972,0,98023
2.5,3,3,20140516T000000,2,8,1471620240,47.4723,-121.746,275000,1480,0,1480,1480,15639,16454,0,0,1987,0,98045
1.75,3,3,20150225T000000,1,7,1626079012,47.7329,-121.92,439950,1240,480,1720,2530,223377,221442,0,0,1950,0,98019
2.25,3,4,20140620T000000,2,7,3904901670,47.5667,-122.018,455000,1470,0,1470,1560,4653,4119,0,0,1985,0,98029
1.75,3,3,20150113T000000,1,7,8927600070,47.6782,-122.278,630000,1250,290,1540,1760,6930,6930,0,0,1944,0,98115
2.5,3,3,20141103T000000,2,9,3629970240,47.5533,-121.992,690000,2820,0,2820,2660,5001,5001,0,0,2004,0,98029
1.75,4,4,20140826T000000,1,7,1099610260,47.302,-122.382,212000,1250,0,1250,1390,12705,8550,0,0,1971,0,98023
2.25,4,4,20140813T000000,1,7,5420300270,47.3762,-122.183,231500,1280,800,2080,1200,7526,7500,0,0,1985,0,98030
3.25,4,4,20150430T000000,2,10,2954400520,47.6676,-122.069,1.2375e+006,5180,0,5180,4240,49936,35363,0,0,1991,0,98053
2.5,3,4,20140708T000000,2,9,1121059105,47.3163,-122.142,378500,2860,0,2860,2370,43821,65340,0,0,1990,0,98092
2.5,4,3,20140502T000000,2,9,2591720070,47.375,-122.022,482000,2710,0,2710,2780,35868,36224,0,0,1989,0,98038
1,2,3,20150505T000000,1,7,9178600055,47.6554,-122.333,695000,1140,0,1140,1800,3990,5700,0,0,1924,0,98103
2.5,4,3,20141202T000000,2,10,9290850800,47.6908,-122.052,965000,4070,0,4070,3890,57587,35960,0,0,1989,0,98052
1.75,3,4,20150204T000000,1,8,5040800060,47.6481,-122.406,675000,1120,590,1710,2920,5913,5922,0,0,1941,0,98199
1.5,3,3,20141027T000000,1,7,1437900350,47.7168,-122.192,387000,1340,0,1340,1620,6500,7107,0,0,1972,0,98034
2.75,4,3,20150330T000000,2,8,1328300810,47.4442,-122.129,347500,2290,0,2290,2000,7000,7200,0,0,1977,0,98058
2,3,3,20140711T000000,1,8,3990200125,47.4598,-122.352,385000,930,930,1860,1640,7400,8461,0,0,1922,2004,98166
1,3,3,20141204T000000,1,6,7452500340,47.5209,-122.374,265000,1080,0,1080,1100,4930,5950,0,0,1950,0,98126
1,3,3,20150422T000000,1,7,9215400075,47.6805,-122.301,406000,960,0,960,1140,5264,5150,0,0,1953,0,98115
1.5,2,3,20140508T000000,2,7,5061300030,47.7076,-121.359,134000,980,0,980,1040,5000,5000,0,0,1922,2003,98014
1,3,5,20141020T000000,2,7,3362900696,47.6838,-122.352,415000,1300,200,1500,1360,3399,3588,0,0,1926,0,98103
1.75,3,3,20140527T000000,1,7,2558640340,47.7231,-122.17,375000,1440,0,1440,1790,8775,7865,0,0,1973,0,98034
2.5,4,3,20141210T000000,2,8,8078460810,47.6319,-122.022,620000,2580,0,2580,2350,7465,7596,0,0,1993,0,98074
2.5,5,3,20141028T000000,2,7,0538000390,47.3539,-122.024,337500,2070,0,2070,2010,4698,4698,0,0,1999,0,98038
2.5,3,4,20140922T000000,1,7,3584900160,47.5901,-122.167,565000,1260,620,1880,1950,12368,11551,0,0,1967,0,98005
1.75,3,3,20140523T000000,2,7,8572900135,47.4943,-121.789,399500,2420,0,2420,1210,12676,6769,0,0,1911,1986,98045
1.75,2,3,20140521T000000,2,8,8056000075,47.6144,-122.211,1.065e+006,1890,0,1890,2180,9466,12825,0,0,1987,0,98004
2,3,3,20140821T000000,1,8,2972300140,47.4983,-122.167,352500,1920,0,1920,2080,33630,7505,0,0,1992,0,98056
2,3,3,20140617T000000,1,7,7697870350,47.3665,-122.183,259000,1270,600,1870,1870,5909,7887,0,0,1986,0,98030
1,2,3,20150415T000000,1,7,7972601710,47.5268,-122.343,320000,900,0,900,1520,7620,7620,0,0,1971,0,98106
2.5,3,4,20140811T000000,2,9,6421100342,47.6712,-122.142,733000,2160,0,2160,3060,9888,7829,0,0,1989,0,98052
1,2,5,20140625T000000,1,7,2464400340,47.6859,-122.322,381500,900,0,900,1320,2910,2910,0,0,1924,0,98115
1,2,4,20141202T000000,1,7,8113101232,47.5492,-122.274,343000,940,240,1180,1700,9261,6325,0,0,1957,0,98118
1,2,5,20140818T000000,1,6,5706500140,47.2113,-121.992,205500,900,0,900,1320,6400,6400,0,0,1938,0,98022
2,3,5,20140915T000000,1,7,1024069037,47.5821,-122.016,525000,1600,0,1600,1850,16530,41006,0,0,1967,0,98075
1.75,3,5,20150319T000000,1,6,9476700135,47.4883,-122.191,300000,750,750,1500,1500,8352,8447,2,0,1943,0,98056
1,2,3,20140722T000000,1,6,1926069035,47.7199,-122.085,299000,1070,0,1070,1970,189486,60548,0,0,1942,0,98077
2.5,4,3,20140709T000000,2,8,3904990030,47.5763,-122,561000,2570,0,2570,2260,5250,5392,0,0,1990,0,98029
1,3,3,20150224T000000,1.5,7,7132300550,47.5934,-122.308,450000,1090,120,1210,1210,4000,4000,0,0,1928,0,98144
2.5,4,3,20140814T000000,2,8,2193340140,47.6914,-122.103,540000,1850,0,1850,1830,7850,8140,0,0,1985,0,98052
2.5,3,3,20140624T000000,2,8,1422300160,47.46,-121.707,379000,1740,0,1740,1740,30886,39133,0,0,1992,0,98045
1,3,4,20140724T000000,1,7,2946000751,47.4213,-122.322,230000,1300,0,1300,1390,14000,8750,0,0,1958,0,98198
2.5,3,4,20150310T000000,2,8,1796250140,47.3442,-122.062,399950,2000,0,2000,1930,30605,35350,0,0,1989,0,98042
2.5,5,3,20150507T000000,2,8,6699001200,47.3714,-122.103,355000,3220,0,3220,2760,5806,5813,0,0,2002,0,98042
2.25,4,3,20140619T000000,1,8,7525300310,47.5883,-122.112,580000,2160,0,2160,2820,9593,9628,0,0,1969,0,98008
2,3,4,20150427T000000,1.5,7,5700000340,47.5779,-122.294,700000,1680,450,2130,2040,4299,4548,0,0,1922,0,98144
1.75,3,4,20140506T000000,1,7,3210400340,47.3672,-122.312,279900,1100,480,1580,1650,8151,8151,1,0,1962,0,98198
1,3,3,20141113T000000,1,6,0179003055,47.4921,-122.275,210000,1200,0,1200,1010,7500,7000,0,0,1905,1989,98178
3,3,3,20140630T000000,2,10,9829200566,47.6035,-122.285,1.165e+006,2810,980,3790,2500,5001,6286,0,0,1989,0,98122
1,2,4,20140611T000000,1,6,1723059050,47.4836,-122.204,290300,860,0,860,1400,3874,5106,0,0,1931,0,98055
4.5,5,3,20141003T000000,2,11,2624059036,47.544,-122.126,1.59995e+006,5130,0,5130,4670,43123,43560,0,0,1996,0,98006
1,3,3,20150416T000000,1.5,7,5101406441,47.7015,-122.317,490000,1400,200,1600,1760,6380,6380,0,0,1939,0,98125
2.5,4,3,20140506T000000,2,9,8582010240,47.5497,-122.077,606000,2110,0,2110,2520,13850,10194,0,0,1987,0,98027
1,3,3,20140714T000000,1,6,6300500505,47.7041,-122.34,359950,950,450,1400,990,4980,4980,0,0,1943,0,98133
2,3,3,20150212T000000,1,10,3275890310,47.6496,-122.083,677100,2110,0,2110,3130,9199,8841,0,0,1993,0,98074
2,3,4,20150221T000000,1,7,7715801040,47.6256,-122.059,465000,1430,0,1430,1570,7125,8075,0,0,1984,0,98074
5.5,5,3,20140815T000000,2,12,7738500731,47.7493,-122.28,4.5e+006,6350,290,6640,3030,40014,23408,4,1,2004,0,98155
2,3,4,20150504T000000,1,8,1822079046,47.3944,-121.972,500000,1520,1520,3040,2230,41072,54014,0,0,1978,0,98038
1,2,4,20150503T000000,1,7,1062100075,47.7518,-122.279,455000,980,0,980,1600,5000,5965,0,0,1950,0,98155
2,6,4,20140818T000000,1.5,7,8825900070,47.6754,-122.307,705000,1970,600,2570,2030,4240,4240,0,0,1911,0,98115
2.5,3,4,20140812T000000,1,8,1158700135,47.7575,-122.364,420000,1460,600,2060,2150,7020,8400,0,0,1967,0,98177
1,3,3,20141005T000000,1,7,7983000200,47.3327,-122.306,169575,1300,0,1300,1360,8284,7848,0,0,1968,0,98003
1,3,3,20150225T000000,1,7,7983000200,47.3327,-122.306,250000,1300,0,1300,1360,8284,7848,0,0,1968,0,98003
2.25,3,5,20150312T000000,1,7,1727510030,47.713,-122.225,530000,1180,500,1680,1910,7262,7405,0,0,1973,0,98034
3.25,5,5,20150206T000000,1,8,3286800370,47.4952,-122.068,590000,2170,1850,4020,2650,40341,53437,0,0,1970,0,98027
1.75,3,3,20140923T000000,1,7,6791400320,47.3146,-122.043,257500,1070,460,1530,1770,14087,13660,0,0,1979,0,98042
1,3,3,20140626T000000,1,8,3992700036,47.7122,-122.29,415000,1170,0,1170,2410,6700,7620,0,0,1957,0,98125
1.75,3,3,20141010T000000,1.5,7,1175000059,47.672,-122.397,536000,1280,300,1580,1560,3764,3764,0,0,1945,0,98107
1.5,3,4,20140529T000000,1,7,8732000390,47.4075,-122.196,246500,1270,0,1270,1380,11600,9945,0,0,1964,0,98031
1.75,3,3,20140706T000000,1,8,1441800030,47.7225,-122.202,395000,1480,0,1480,1930,7700,8560,0,0,1975,0,98034
2.25,3,4,20150511T000000,1,8,4045800030,47.6383,-122.098,739000,1700,520,2220,2500,10530,10014,0,0,1974,0,98052
2.75,4,3,20140929T000000,2,11,1727850340,47.6402,-122.171,1.272e+006,3200,0,3200,4050,13729,16921,0,0,1984,0,98005
1,3,4,20140708T000000,1,7,2268000370,47.2741,-122.301,190000,910,0,910,1470,10575,10425,0,0,1968,0,98003
1.5,3,3,20150410T000000,1,7,2023049350,47.4717,-122.323,305000,1480,0,1480,1540,9086,9750,0,0,1962,0,98168
4.25,4,4,20150420T000000,2,8,7018000560,47.7517,-122.225,925000,3770,0,3770,2200,13058,12255,0,0,1983,0,98028
3,4,3,20140821T000000,2,10,4147200140,47.5468,-122.231,895000,2360,1140,3500,3140,13444,12935,0,0,1977,0,98040
1.75,3,3,20140717T000000,1.5,8,3176600055,47.6732,-122.272,656000,1480,0,1480,2120,7475,7216,0,0,1943,0,98115
1,4,3,20140519T000000,1.5,7,7518500885,47.6829,-122.378,560000,1260,400,1660,1400,4690,3876,0,0,1945,0,98117
2.25,5,3,20141020T000000,2,9,7504020810,47.6322,-122.053,610000,2520,0,2520,2530,11700,12000,0,0,1977,0,98074
2.5,4,3,20140708T000000,2,9,3276930370,47.5852,-121.992,645000,2850,0,2850,2980,37522,35280,0,0,1987,0,98075
2.5,3,3,20150410T000000,2,8,1687000200,47.2872,-122.283,259000,2153,0,2153,2434,4400,4400,0,0,2007,0,98001
2.5,4,3,20140818T000000,2,10,7501000340,47.6533,-122.183,980000,3780,0,3780,3310,10962,11651,0,0,1990,0,98033
4,4,4,20140723T000000,1,9,7611200136,47.7159,-122.367,872000,1940,1830,3770,2260,9750,9878,0,0,1967,0,98177
2.75,6,4,20140805T000000,1,9,5459500125,47.5726,-122.213,1e+006,1940,1660,3600,2990,9675,9675,2,0,1977,0,98040
2.75,3,3,20140910T000000,1.5,8,0825059271,47.674,-122.196,900000,1590,1390,2980,1520,12600,9660,0,0,1941,2012,98033
1.5,4,4,20150428T000000,1.5,7,9465200181,47.6944,-122.355,475000,1540,780,2320,1670,5534,5913,0,0,1915,0,98103
2.75,5,4,20150107T000000,1,8,5469502860,47.3774,-122.16,350000,1730,1250,2980,2900,13482,14800,0,0,1975,0,98042
1.75,4,3,20140515T000000,1,9,0486000565,47.6765,-122.404,840000,1670,1260,2930,2530,11562,6517,3,0,1947,0,98117
2.5,4,3,20140622T000000,1,8,6071900070,47.5512,-122.17,500000,1420,620,2040,2540,8400,8925,0,0,1963,0,98006
1.5,3,3,20150406T000000,1,7,7957600075,47.4303,-122.334,202500,1110,400,1510,1420,9898,9250,0,0,1954,0,98148
2.5,4,3,20141223T000000,2,8,0823069074,47.4969,-122.06,523000,2660,0,2660,2850,65340,74052,0,0,1988,0,98027
2.5,3,3,20141203T000000,2,7,2366800055,47.2671,-122.236,225000,1740,0,1740,1300,10050,10125,0,0,1989,0,98001
2.25,3,3,20150309T000000,1,7,7272001805,47.3995,-122.318,418200,1190,1050,2240,2080,9542,9542,1,0,1980,0,98198
1.75,4,3,20141205T000000,1,7,3582700070,47.7432,-122.248,356500,1170,400,1570,2080,9670,9100,0,0,1959,0,98028
3,4,4,20140716T000000,1.5,7,2402100055,47.6895,-122.331,670000,1460,1040,2500,1720,5000,4500,0,0,1926,0,98103
2.25,3,5,20141204T000000,1,7,5146000070,47.7509,-122.3,456150,1150,600,1750,1820,12408,12977,0,0,1962,0,98155
2.5,4,3,20140603T000000,2,8,2607760890,47.485,-121.799,471000,2020,1010,3030,2050,9687,10193,0,0,1998,0,98045
2.5,3,3,20150409T000000,3,8,9274200316,47.5891,-122.387,558000,1680,0,1680,1740,934,1280,0,0,2008,0,98116
4.5,6,3,20150305T000000,2,11,4139500200,47.5533,-122.11,1.38e+006,3610,2130,5740,4350,10312,11917,2,0,2000,0,98006
1,3,5,20141212T000000,1,7,3021059155,47.2811,-122.214,161500,1220,0,1220,1420,6000,13137,0,0,1961,0,98002
1,3,3,20141010T000000,1.5,7,3580900160,47.7284,-122.241,311000,1310,0,1310,1310,8370,8370,0,0,1962,0,98034
1.75,6,4,20150224T000000,1.5,8,3876000350,47.7252,-122.187,470000,2490,0,2490,1840,8732,8024,0,0,1966,0,98034
3.25,3,5,20140709T000000,1.5,8,3959400400,47.5665,-122.316,569000,1770,450,2220,1750,8227,4800,0,0,1929,0,98108
2.5,4,3,20150318T000000,2,9,8079100700,47.5652,-122.013,689000,2240,0,2240,2200,7350,8017,0,0,1989,0,98029
1.75,3,3,20140715T000000,1,7,9407001610,47.4472,-121.774,271900,1230,660,1890,1580,11875,10920,0,0,1979,0,98045
2.5,4,3,20141210T000000,2,7,8700120270,47.359,-122.191,278000,1850,0,1850,1860,6037,6037,0,0,1991,0,98030
2.5,2,4,20140723T000000,2,8,3204300860,47.6305,-122.3,820000,1440,770,2210,1560,4440,4920,0,0,1931,0,98112
1.75,3,4,20150225T000000,1,7,3204800520,47.5375,-122.176,399500,1410,0,1410,1560,7700,7700,0,0,1967,0,98056
2.75,3,4,20141105T000000,2,9,8857320260,47.6102,-122.114,462000,1890,0,1890,1800,2614,2769,0,0,1979,0,98008
1,3,3,20150413T000000,1,7,6791400800,47.3126,-122.043,347500,1550,280,1830,1810,12036,12036,0,0,1977,0,98042
0.75,2,3,20140625T000000,1,7,2768000270,47.6707,-122.364,562100,1200,240,1440,1440,3700,4300,0,0,1914,0,98107
1,2,3,20140529T000000,1,6,1432400060,47.4499,-122.176,230000,950,0,950,1160,7560,7560,0,0,1958,0,98058
2.5,4,5,20140622T000000,2,8,2547200240,47.6715,-122.166,687000,2370,0,2370,2370,10083,10133,0,0,1966,0,98033
2.5,4,3,20141209T000000,2,10,6441800060,47.5847,-122.08,725786,3070,0,3070,3630,5762,6500,0,0,2000,0,98075
1,3,4,20150126T000000,1,7,1775800710,47.7422,-122.1,315500,1300,0,1300,1480,12600,13530,0,0,1969,0,98072
2,4,3,20140506T000000,1,7,7694600253,47.5071,-122.369,312000,1300,0,1300,1560,7054,7100,0,0,1950,2013,98146
3.25,3,3,20141106T000000,2,8,8910500238,47.7114,-122.356,343000,1000,210,1210,1650,1173,1493,0,0,2002,0,98133
1,1,3,20141029T000000,1.5,6,3076500830,47.5756,-122.316,385195,710,0,710,1440,6000,4800,0,0,2015,0,98144
2.25,4,4,20140829T000000,1,8,1072030510,47.4777,-122.142,415000,1730,510,2240,2150,12650,12650,0,0,1981,0,98059
1.75,3,4,20140630T000000,2,6,3888100226,47.6893,-122.167,461000,2400,1200,3600,2290,8666,8200,0,0,1948,0,98033
2.5,4,3,20140610T000000,2,7,7227501369,47.4941,-122.19,369990,1960,0,1960,1960,7133,6705,0,0,2002,0,98056
2.5,4,3,20140929T000000,2,7,3820350070,47.7351,-121.985,349950,1820,0,1820,1820,3134,3751,0,0,1999,0,98019
2.25,3,3,20150412T000000,1,8,7616800350,47.4436,-122.21,285750,1400,560,1960,2060,17126,11466,0,0,1966,0,98055
2.25,4,3,20150420T000000,1,8,7811210200,47.5909,-122.158,542500,1320,430,1750,2170,10160,11165,0,0,1972,0,98005
3.5,5,3,20141111T000000,2,9,6891100260,47.7085,-122.117,830000,2890,810,3700,3620,5400,5460,0,0,2011,0,98053
2.5,4,4,20141223T000000,2,8,6076500160,47.7085,-122.24,705000,2350,560,2910,2020,20946,11342,0,0,1976,0,98034
1,2,3,20140624T000000,1,8,2872100445,47.6828,-122.393,615000,1090,180,1270,1640,5000,5000,0,0,1949,0,98117
1,2,3,20150129T000000,1,6,3352400004,47.5056,-122.27,184500,720,0,720,1440,5880,7200,0,0,1940,0,98178
1,2,3,20141001T000000,1,7,7942601200,47.6048,-122.312,412000,1040,0,1040,1250,5120,4000,0,0,1901,0,98122
1.5,3,3,20141215T000000,1.5,7,0985001266,47.492,-122.309,250000,2210,0,2210,1250,11111,8422,0,0,1934,0,98168
2,5,3,20140612T000000,2,7,2218000390,47.6685,-122.305,580000,2060,0,2060,1770,6000,5000,0,0,1903,0,98105
1,2,5,20150312T000000,1,6,7231502505,47.4759,-122.208,220000,780,0,780,1080,6000,6000,0,0,1923,0,98055
2.75,4,4,20140916T000000,1,8,7555220140,47.6495,-122.194,675000,1460,780,2240,2360,8937,9038,0,0,1976,0,98033
1,2,3,20140522T000000,1,7,7445000105,47.6566,-122.358,373500,800,0,800,1300,3330,4320,0,0,1918,0,98107
1.5,2,3,20150402T000000,2,7,5583200810,47.5568,-122.271,662700,1590,850,2440,1770,6900,6900,0,0,1910,0,98118
1,5,4,20140516T000000,2,6,7340600827,47.487,-122.282,239950,1460,0,1460,1060,6032,10300,0,0,1941,0,98168
1,3,4,20140925T000000,1,7,7436900045,47.6788,-122.162,383000,1150,0,1150,1410,10196,8925,0,0,1957,0,98052
2.75,3,4,20150129T000000,1,7,4027701294,47.7669,-122.268,485000,1470,1180,2650,1950,12350,14075,0,0,1975,0,98028
2.75,4,5,20140710T000000,1,8,3570000160,47.593,-122.054,610000,1580,1020,2600,2300,36583,27820,0,0,1976,0,98075
1.75,6,3,20140808T000000,1,7,9276202190,47.579,-122.39,545000,1130,690,1820,1820,6250,5750,0,0,1954,0,98116
2.5,2,5,20140708T000000,2,8,5016002180,47.6233,-122.3,780000,1690,870,2560,1890,2500,5000,0,0,1901,0,98112
2.5,3,3,20150424T000000,2,8,7300000550,47.4288,-122.19,305000,1714,0,1714,1714,3240,3240,0,0,2005,0,98055
1,3,3,20140612T000000,1,7,6817810310,47.6355,-122.037,405000,900,430,1330,1330,15678,12696,0,0,1984,0,98074
3.5,5,3,20140730T000000,2,11,7851980260,47.5373,-121.865,1.11e+006,4750,2600,7350,5380,12231,12587,4,0,2001,0,98065
1.75,3,4,20150402T000000,2,6,1423400260,47.4572,-122.18,273000,2050,0,2050,1200,9045,9045,0,0,1959,0,98058
1,3,3,20140527T000000,2,7,3876810140,47.7427,-122.172,326500,1810,0,1810,1420,12375,9357,0,0,1970,0,98072
1.75,3,5,20150424T000000,1,7,3276180140,47.5087,-122.193,365000,880,500,1380,1400,9134,8190,0,0,1981,0,98056
2.75,3,3,20150408T000000,2,10,9808590310,47.6444,-122.191,1.00075e+006,2440,630,3070,3490,10739,11913,0,0,1987,0,98004
1,2,3,20150325T000000,1,7,0546000045,47.6895,-122.382,422500,800,0,800,1400,4046,4046,0,0,1940,0,98117
2.75,4,3,20150324T000000,2,8,2595650060,47.3529,-122.274,354450,2140,0,2140,2130,9920,9920,0,0,1993,0,98001
1,3,4,20141204T000000,1,7,1771110550,47.758,-122.075,320000,1330,0,1330,1250,9540,10350,0,0,1971,0,98077
1,3,3,20140603T000000,1,7,5335700030,47.3607,-122.291,223000,1030,0,1030,1470,9120,10220,0,0,1961,0,98032
2.5,3,3,20140724T000000,2,7,7203101580,47.6966,-122.025,410000,1740,0,1740,1290,4948,3383,0,0,2008,0,98053
1,3,4,20140829T000000,1.5,6,0272000125,47.5881,-122.299,438000,1200,0,1200,1390,4000,4000,0,0,1923,0,98144
3,3,3,20141106T000000,2,7,2770601741,47.6506,-122.384,390000,960,530,1490,1590,2944,1600,0,0,1993,0,98199
2.5,4,3,20150219T000000,2,7,4250200140,47.3293,-122.194,298500,1890,0,1890,2030,5954,5880,0,0,2004,0,98092
2.25,5,3,20140905T000000,2,10,8965400390,47.5585,-122.117,749999,3060,0,3060,3430,13630,10700,0,0,1989,0,98006
2.5,6,3,20140829T000000,1,8,5071401000,47.6935,-122.28,779000,1800,1450,3250,3490,12000,10320,1,0,1966,0,98115
2.75,3,3,20150114T000000,2,8,3760500435,47.6987,-122.231,570000,1530,1200,2730,2810,11936,12333,2,0,1978,0,98034
1,3,3,20150512T000000,1,6,5680000260,47.5712,-122.316,385000,810,0,810,1520,4600,4800,0,0,1918,0,98144
2,4,5,20140818T000000,1,8,9170500060,47.693,-122.168,649000,1120,1120,2240,1790,11040,11040,0,0,1961,0,98033
1,3,3,20141001T000000,1,7,0795000885,47.5049,-122.329,283000,1270,470,1740,1070,5247,5636,0,0,1947,0,98168
2.25,4,3,20140922T000000,1,7,4038600260,47.6126,-122.12,699900,1540,840,2380,2230,16236,8925,0,0,1961,0,98008
1,4,3,20150220T000000,1,7,4406000560,47.4278,-122.152,278500,770,770,1540,1520,8400,9891,0,0,1971,0,98058
1.75,4,3,20141115T000000,1,8,2260000340,47.6401,-122.108,700000,1610,730,2340,2470,9100,11000,0,0,1975,0,98052
2.75,4,3,20140728T000000,2,9,9510310030,47.4745,-121.724,535000,2710,0,2710,2710,45963,33955,0,0,1995,0,98045
1.75,3,3,20140923T000000,1,7,4245400045,47.5035,-122.302,234500,870,440,1310,1840,18400,10790,0,0,1954,0,98168
1.75,3,4,20140806T000000,1,7,9371700132,47.752,-122.35,374150,1390,0,1390,1240,9585,8188,0,0,1973,0,98133
2.5,4,3,20150317T000000,2,8,7272001610,47.4002,-122.317,397000,2201,0,2201,1990,9542,9542,0,0,2006,0,98198
2.25,3,3,20140918T000000,1,8,1324059139,47.5736,-122.109,613000,1960,0,1960,2800,10385,12632,0,0,1988,0,98008
2.5,3,4,20140609T000000,1,8,1552100135,47.6218,-122.209,1.15e+006,1730,1120,2850,2820,10474,10474,0,0,1954,0,98004
1.75,4,3,20150327T000000,1,7,1257200060,47.6754,-122.327,595000,940,940,1880,1410,4080,4080,0,0,1924,0,98115
2.75,5,3,20140910T000000,2,8,2822059350,47.3655,-122.174,340000,2440,0,2440,2300,6858,6858,0,0,2003,0,98030
2.5,4,3,20150108T000000,2,9,2781260070,47.3474,-122.025,388000,2560,0,2560,3040,5800,5800,0,0,2005,0,98038
1.75,3,3,20140922T000000,1,7,0619000045,47.4181,-122.339,404000,1410,0,1410,1970,15210,16290,0,0,1950,2014,98166
2,3,4,20140829T000000,1.5,8,8934100125,47.6813,-122.275,810000,1790,1080,2870,2310,6360,6466,1,0,1946,0,98115
2.5,4,3,20150403T000000,2,9,2472920140,47.438,-122.152,405000,2620,0,2620,2580,9359,7433,0,0,1987,0,98058
3,5,3,20140714T000000,2,9,7215730310,47.598,-122.019,726000,2970,0,2970,2970,10335,10335,0,0,2000,0,98075
2.5,3,4,20140514T000000,1,7,7697870310,47.3667,-122.182,266000,1400,380,1780,1520,7214,7228,0,0,1986,0,98030
2.25,5,5,20141222T000000,1,8,2795000060,47.7736,-122.371,722500,1850,1850,3700,2340,7207,7900,1,0,1970,0,98177
2.5,4,3,20150228T000000,1,8,2408600160,47.3216,-122.291,352000,992,260,1252,1860,25002,25002,0,0,1996,0,98001
1.5,4,4,20150319T000000,1,7,7888200240,47.3716,-122.31,265000,1110,130,1240,1520,8158,8147,0,0,1961,0,98198
2.5,3,3,20150206T000000,2,9,0151000075,47.5762,-122.415,856000,2160,0,2160,1500,3920,4920,0,0,2014,0,98116
2.5,3,4,20140724T000000,2,8,5104530240,47.3517,-121.999,346950,2040,0,2040,2380,4348,4348,0,0,2006,0,98038
3.5,5,3,20140617T000000,2,9,4139680070,47.5664,-122.129,866059,2570,560,3130,3440,4797,5439,0,0,2014,0,98006
2.5,3,3,20150129T000000,2,7,7852180260,47.5314,-121.854,410000,2350,0,2350,2350,4456,4456,0,0,2004,0,98065
1.75,3,3,20140708T000000,2,7,1471610060,47.4716,-121.756,370000,1570,0,1570,1600,16817,16817,0,0,1982,0,98045
1,3,4,20140623T000000,1.5,7,3520069033,47.1776,-122.011,230000,1530,0,1530,1768,389126,42148,0,0,1919,0,98022
2,2,3,20141010T000000,1,7,9268200550,47.6948,-122.364,400000,1520,0,1520,1110,5010,5040,0,0,1999,0,98117
1,3,4,20150311T000000,1,7,1788700295,47.3274,-122.346,172000,820,530,1350,1320,9680,9225,0,0,1959,0,98023
1.75,3,4,20140714T000000,1,8,7379600240,47.5893,-122.15,615000,1250,700,1950,1740,8480,8480,0,0,1962,0,98007
3.5,4,3,20150407T000000,2,10,8691330060,47.5945,-121.981,860000,3950,0,3950,3110,9600,10213,0,0,1998,0,98075
1.75,3,5,20140618T000000,1,7,6384500581,47.5688,-122.397,555000,1120,920,2040,1530,6000,6250,0,0,1958,0,98116
2.5,3,5,20140721T000000,1.5,8,6690500070,47.6867,-122.354,579000,1390,600,1990,1180,4040,3030,0,0,1926,0,98103
1.75,3,3,20140630T000000,1,7,3205400140,47.721,-122.179,385000,1300,0,1300,1450,7030,7650,0,0,1968,0,98034
2.25,4,3,20150414T000000,2,7,6662410070,47.7699,-122.168,420000,2030,0,2030,2190,12000,9900,0,0,1977,0,98011
1.75,3,5,20140716T000000,1.5,7,1919800260,47.6956,-122.335,645000,1620,720,2340,1410,6750,3388,0,0,1914,0,98103
2.5,3,3,20150428T000000,2,8,7283900045,47.7655,-122.35,549950,2160,0,2160,1830,6288,7600,0,0,1996,0,98133
2.75,3,5,20140923T000000,1,8,3756100160,47.7011,-122.206,678000,1640,1130,2770,2450,10000,10000,1,0,1962,0,98033
2,4,3,20140521T000000,2,7,3352401981,47.4994,-122.261,199000,2030,0,2030,1520,8120,9440,0,0,1950,0,98178
1,3,4,20150218T000000,1,7,5315100394,47.5872,-122.241,604000,1440,0,1440,2540,13824,12092,0,0,1957,0,98040
1.75,5,5,20150403T000000,1,7,3450300270,47.5008,-122.162,268000,1010,720,1730,1730,10368,7728,0,0,1963,0,98059
3.5,5,3,20140805T000000,2,10,2325069117,47.6346,-122.011,960000,2820,1690,4510,4330,16305,18741,0,0,2003,0,98074
